"","Municipio","Nombre.Comercial","Subcategoria","Direccion.Comercial","Correo.Electronico","Habitaciones","Camas","Empleados","Precio"
"44","VILLA DE LEYVA","HOSPEDERIA EL MESON DE LOS VIRREYES","HOTEL","CARRERA 9  14-57","reservas@hotelmesondelosvirreyes.com",30,43,7,70899
"45","VILLA DE LEYVA","HOTEL MARQUES DE SAN LUIS","HOTEL","CARRERA 13  8 58","lumarher@hotmail.com",30,90,3,51203
"46","VILLA DE LEYVA","HOSPEDERIA IGUAQUE CAMPESTRE","HOTEL","VEREDA EL ROBLE VILLA DE LEYVA","marisol.gonzalez2010@hotmail.com",17,25,1,42463
"48","PAIPA","HOTEL LIBERTADORES PAIPA","HOTEL","CL 25 5 141","hotellibertadores@gmail.com",20,65,1,59248
"52","CHIQUINQUIRA","HOTEL MOYBA CHIQUINQUIRA","HOTEL","CARRERA 9  17 53","hotelmoyba@hotmail.com",20,35,2,50692
"53","VILLA DE LEYVA","HOSPEDERIA BETH SARIM","HOTEL","CALLE 5   9  137","hospederiabethsarim@gmail.com",15,15,1,54636
"54","VILLA DE LEYVA","HOSPEDAJE EL MIRADOR","HOTEL","TRANSVERSAL 8   6 94","hospedaje_elmirador@hotmail.com",7,20,3,56929
"56","SOGAMOSO","HOTEL ROYAL CONFORT","HOTEL","K 11 9 48","wrriveram@hotmail.com",11,13,1,49529
"57","VILLA DE LEYVA","HOTEL Y CENTRO DE CONVENCIONES CASA DE LOS FUNDADORES","HOTEL","KILOMETRO 1 VIA GUANANI","hotel@casadelosfundadores.com",50,150,30,103717
"58","SOGAMOSO","HOTEL LA ERMITA","HOTEL","CALLE 10 11-51","gerencia@ermita-hotel.com",15,26,1,50579
"60","DUITAMA","HOTEL CATALINA REAL","HOTEL","CR 16 17 25","juventus4485@gmail.com",20,25,1,54615
"61","SOGAMOSO","NUEVO HOTEL BOCHICA","HOTEL","CL 11 14 33","liaguirrevega@yahoo.com",22,32,1,52417
"62","VILLA DE LEYVA","POSADA SAN MARTIN","HOTEL","CALLE 14  9 43","posadasanmartinleyva@hotmail.com",6,7,1,55192
"63","DUITAMA","HOTEL DEL PARQUE","HOTEL","CL 18  17 59","amparitopaezf@hotmail.com",6,12,1,56587
"64","SOGAMOSO","HOTEL VALPARAISO","HOTEL","KR 18 11A 10","wmoh_cont@yahoo.com",20,30,1,51736
"65","SOGAMOSO","HOTEL ANDALUZ","HOTEL","CALLE 11 18-63","hotelandaluz01@gmail.com",18,32,1,49689
"66","DUITAMA","HOTEL FARAON","HOTEL","CL 17 18 10","rudavaca182@gmail.com",13,23,1,42137
"67","CHIQUINQUIRA","HOTEL REAL MUISCA","HOTEL","CALLE 16 9 22","oscarim25@hotmail.com",16,24,3,46074
"68","DUITAMA","HOTEL TUNJO DORADO","HOTEL","CR 19  13 51","htd_m5@yahoo.es",30,75,3,65899
"69","TUNJA","HOTEL IMPERIAL TUNJA","HOTEL","CALLE 19  7-43","hotelimperialtunja43@gmail.com",17,22,1,44158
"70","TUNJA","HOTEL SUITE IMPERIAL","HOTEL","CALLE 19  7-96","esperanzafigueroa2612@gmail.com",35,39,1,50373
"72","DUITAMA","HOTEL PERLA REAL VICTORIA","HOTEL","CR 19  15 41","marcoalonsorincon2010@hotmail.com",17,25,1,56358
"73","DUITAMA","HOTEL SANTA ISABEL DUITAMA","HOTEL","CR 18 18 59","ihotelsanta@gmail.com",21,30,1,56851
"74","TUNJA","HOTEL RESIDENCIAS BONSAI","HOTEL","CARRERA 9  17-89","rimadi33@yahoo.es",10,10,1,59440
"75","PUERTO BOYACA","HOTEL NODILAN","HOTEL","CL 12 3 27","vianavy07@hotmail.com",18,23,1,54157
"76","SANTA ROSA DE VITERBO","HOTEL EL AEROLITO","HOTEL","CR 5  8 49","hotelelaerolito@gmail.com",12,24,1,57124
"78","PUERTO BOYACA","HOTEL ROSARIO PUERTO BOYACA","HOTEL","CR 2 9 36","macema14@hotmail.com",15,20,1,58945
"79","TUNJA","CONVENCIONES Y SERVICIOS ESPECIALES HOTEL BOYACA PLAZA","HOTEL","CALLE 18  11-22","comercial@hotelboyacaplaza.co",37,52,1,54256
"81","PAIPA","HOTEL PANORAMA COMFABOY","HOTEL","ORILLA LAGO SOCHAGOTA PAIPA","hotelpanorama@comfaboy.com.co",45,113,30,115864
"83","PAIPA","HOTEL ZUHE CENTRO DE NEGOCIOS Y CONVENCIONES","HOTEL","CL 25 18 32","hotel.zuhe@yahoo.com",45,100,10,60457
"85","VILLA DE LEYVA","HOSTERIA LOS FRAYLES DE LA VILLA","HOTEL","CALLE 8  9-38","contacto@hosterialosfrayles.com",20,37,3,54338
"86","SOGAMOSO","HOTEL LOS ESTEROS","HOTEL","KR 18 11 35/39/41","reyescorreamiguelangel@gmail.com",12,20,1,59498
"88","VILLA DE LEYVA","CASA HOTEL VILLA CRISTINA","HOTEL","CALLE 10  3-78","reservasvillacristina@gmail.com",13,18,2,56947
"89","CUITIVA","HOTEL REFUGIO RANCHO TOTA","HOTEL","KILOMETRO 21 VIA SOGAMOSO AQUITANIA","hotelranchotota@hotmail.com",26,60,1,60490
"90","TUNJA","HOTEL GIRASOL TUNJA","HOTEL","CARRERA 7  17-10","hgirasol.tunja@gmail.com",39,48,3,49445
"91","TUNJA","HOTEL LA ANTIGUA","HOTEL","CALLE 28  10-10","hotel_antigua@hotmail.com",16,17,4,54316
"92","CHIQUINQUIRA","HOTEL LUZ MAR","HOTEL","CARRERA 9  2-35 SUR","javierpachon2@gmail.com",4,5,1,58085
"93","VILLA DE LEYVA","P.S.A.HOTEL","HOTEL","CALLE 15  8-65","laura.mendoza@hotelplazuela.com",20,39,8,75779
"95","TUNJA","HOTEL SANTA ELENA NORTE","HOTEL","CALLE 54  6-20","hotelessantaelena@hotmail.com",18,20,7,60448
"96","DUITAMA","HOTEL CLASS","HOTEL","CR 19 18 18","hotelclass@hotmail.com",25,45,1,42024
"98","TUNJA","DANARAMA HOTEL","HOTEL","CARRERA 13  7-57 SUR","hoteldanarama@hotmail.com",18,50,1,61843
"99","MONIQUIRA","HOTEL SAN JOSE MONIQUIRA","HOTEL","CALLE 16  5-40","ancisarparra@hotmail.com",40,60,1,44967
"100","SOGAMOSO","LAURA S. GUAUQUE MONTANEZHOTEL BACHUE","HOTEL","KR 10 13 68","lalita2808g@hotmail.com",15,18,1,42987
"101","PUERTO BOYACA","HOTEL KARIARY","HOTEL","CR 5 11  67","informacion@hatocebu.com",26,44,58,167947
"103","SOGAMOSO","HOTEL MANHATTAN","HOTEL","CR 18 10 69","margaritabayonacamargo@hotmail.com",26,30,1,48427
"106","SOGAMOSO","HOTEL LOS ANGELES DE LA 11","HOTEL","CL 11 17 21","margaritabayonacamargo@hotmail.com",26,30,1,52559
"107","SOGAMOSO","HOTEL VILLA MONTANA","HOTEL","KR 18 10 61","joseananias2013@gmail.com",27,29,1,57908
"109","VILLA DE LEYVA","HOTEL ANTONIO NARIÑO","HOTEL","CARRERA 9  10-34","hospenarino@hotmail.com",15,30,4,49379
"111","MONIQUIRA","HOTEL ENGATAMA","HOTEL","CARRERA 3A  16-155 PISO 2","hotel_engatama@hotmail.com",26,35,1,55900
"114","CHIQUINQUIRA","HOSPEDAJE SAN MARTIN","HOTEL","CARRERA 9 19-84","rudaco584@gmail.com",18,20,1,60973
"115","NOBSA","SAN LUIS DE UCUENGA","HOTEL","KM 7 AUTOPISTA DUITAMA BELENCITO","sanluisdeucuenga@hotelescondestino.com",12,36,5,55555
"119","DUITAMA","HOTEL MAGISTRAL","HOTEL","CR 19  15 31","hotelmagistral@hotmail.com",14,22,1,46988
"120","CHIQUINQUIRA","HOTEL CALLE REAL CHIQUINQUIRA","HOTEL","CALLE 1A  8 24 SUR","casadelgrandpa@gmail.com",5,7,1,45189
"121","TENZA","HOTEL DE TENZA LTDA.","HOTEL","CARRERA 5  5 36","hoteldetenza@hotmail.com",30,100,2,45433
"122","TUNJA","HOTEL SAN AGUSTIN B&B","HOTEL","CALLE 23  8-63","posadadesanagustin@hotmail.com",11,14,1,53149
"123","TUNJA","ALICANTE HOTEL","HOTEL","CARRERA 8  19 15","hotelalicante@hotmail.com",9,20,2,53797
"124","SOGAMOSO","GRAN HOTEL SOGAMOSO","HOTEL","KR 18 11-15","damaristobo18@hotmail.com",36,58,1,51886
"126","VILLA DE LEYVA","HOSPEDAJE EL GIRASOL","HOTEL","CARRERA 9  10-58","munevarflor@gmail.com",10,10,1,59767
"127","SORACA","HOTEL SORACA MANTO REAL","HOTEL","VEREDA OTRO LADO SECTOR LA Y","jaibertqm@hotmail.com",8,11,1,42734
"128","MONIQUIRA","LA POSADA DE BACHUE","HOTEL","CARRERA 5   16   22","laposadadebachue@gmail.com",8,10,1,46075
"129","NOBSA","HOTEL NOBSA COLONIAL","HOTEL","KR 10 4 18","hotelnobsacolonial@hotmail.com",15,31,1,52276
"132","SORACA","HOTEL BUENOS AIRES SORACA","HOTEL","VEREDA OTROLADO SECTOR LA Y","albaigg23@gmail.com",6,6,1,46727
"136","PUERTO BOYACA","HB HOTEL BOYACA","HOTEL","CR 3 11 15","hotelpuertoboyaca@gmail.com",30,35,3,57509
"137","AQUITANIA (PUEBLO VIEJO)","HOTEL REFUGIO POZO AZUL","HOTEL","LAGO DE TOTA VDA SUSACA","hpozoazul@yahoo.com",17,49,1,51645
"138","SACHICA","HOSPEDAJE MI CASITA","HOTEL","AVENIDA PRINCIPAL TUNJA - CHIQUINQUIRA","favioeforero@hotmail.com",10,12,1,53387
"140","DUITAMA","HOTEL LA CUEVA DE LA LUNA","HOTEL","PUEBLITO BOYACENSE CA 6-4","h.lacuevadelaluna@gmail.com",6,10,1,44883
"144","GACHANTIVA","HOSPEDAJE CAMPESTRE LA PERIQUERA.","HOTEL","VEREDA SAAVEDRAS DE RONCANCIO","laperiquerahospedajecampestre@hotmail.com",12,24,2,46914
"146","TUNJA","HOTEL PLAZA MUISCA","HOTEL","CARRERA 10 24-96","hotelplazamuisca@gmail.com",20,21,8,64246
"147","SAN MATEO","HOTEL CAPILLA REAL SAN MATEO","HOTEL","CL 4  3 68","luneyctf@yahoo.com",10,15,1,55660
"149","DUITAMA","KURHOTEL BIOSPA","HOTEL","KM 5 VIA DUITAMA PAIPA","gerencia@biosaludduitama.com",30,40,46,145069
"150","SAMACA","RESTAURANTE Y HOSPEDAJE LOS ALMENDROS","HOTEL","CARRERA 6  6-51","dorapinto97@hotmail.com",40,56,6,70320
"151","DUITAMA","SHALOM HOTEL DUITAMA","HOTEL","CR 19 15 32","shalom.hotel@gmail.com",15,23,1,58262
"153","TUNJA","HOTEL VICTORIA REAL TUNJA","HOTEL","CALLE 24 9-75","hotelvictoriarealtunja@gmail.com",5,6,1,55518
"154","PAIPA","CASA HOTEL DESCANSO REAL","HOTEL","VDA LA ESPERANZA VIA CA?OS","olgaluciadiazrodriguez@yahoo.es",9,35,2,60150
"155","VILLA DE LEYVA","HOTELES Y TURISMO COLOMBIA STA VIVIANA","HOTEL","DIAGONAL 8  12A-76","hotelsantaviviana@gmail.com",32,62,8,58561
"157","TUNJA","HOTEL CACIQUE MUISCA","HOTEL","AVENIDA NORTE  64B-134  MUISCAS","juancacique25@hotmail.com",22,24,2,49016
"158","TUNJA","HOTEL CASA MORENO","HOTEL","CARRERA 14  6-62 SUR","hotelcasamoreno@gmail.com",25,43,1,48631
"159","PUERTO BOYACA","HOTEL MIRADOR PLAZA","HOTEL","CR 3 A 13 50","luzcortes3828@gmail.com",15,16,2,52145
"161","SUTAMARCHAN","HOTEL CABAÑAS LOS APOSENTOS D` DON PEDRO DE MERCHAN","HOTEL","CALLE 3 1-99","heysus52@hotmail.com",19,31,3,58707
"165","PUERTO BOYACA","HOTEL CIRO","HOTEL","CR 3 A 7 103","hotelciropb@gmail.com",24,33,3,62172
"170","SACHICA","HOTEL CALLE PRINCIPAL","HOTEL","CALLE 3  1A-66","contactenos@hotelcalleprincipal.com",22,35,4,53176
"171","TUNJA","HOTEL EL DORADO SURINAMA","HOTEL","CARRERA  11  2B-52","hotel.eldoradosurinama@hotmail.com",18,28,1,58389
"172","SOGAMOSO","HOTEL CACIQUE PLAZA","HOTEL","CL  14 18 76","hotelcaciqueplazasogamoso@gmail.com",60,70,1,42310
"173","TUNJA","HOTEL POSADA DE SAN LAUREANO","HOTEL","CARRERA 8  11-53","hotelposadasanlaureano@gmail.com",14,19,1,55088
"175","GUATEQUE","GUATOC CACIQUE HOTEL","HOTEL","CARRERA 7  11 30","vivianarocio100@yahoo.com",29,43,3,62234
"178","PUERTO BOYACA","HOTEL MONTECARLO PLAZA","HOTEL","CR 2 12 24","hotel-montecarlo@hotmail.com",39,42,1,51227
"180","VILLA DE LEYVA","HOTEL BOUTIQUE VILLA ROMA","HOTEL","CALLE 8  10 166","info@hotelvillaroma.com",19,40,8,60068
"182","TUNJA","HOTEL COLONIAL SANTA ELENA","HOTEL","CARRERA 10  23-12","meryluzpa@hotmail.com",10,12,2,44375
"184","EL COCUY","LA POSADA DEL MOLINO","HOTEL","CR 3  7 51","laposadadelmolinoelcocuy@yahoo.es",11,32,1,47663
"199","VILLA DE LEYVA","SANTA MARIA DE LEYVA HOTEL BOUTIQUE","HOTEL","CARRERA 9  5 86","administracion@hoteleslafloresta.com",16,20,4,66305
"201","SACHICA","HOTEL AQUILES","HOTEL","CALLE 3 1-28","anita.amado@hotmail.com",13,22,2,62674
"202","SACHICA","HOTEL CABAÑAS SANTA CECILIA","HOTEL","VEREDA EL PLAYON SECTOR HACIENDA SANTA CECILIA","reservaciones@hotelsantacecilia.com.co",29,52,1,52851
"203","GUICAN","POSADA TURISTICAS BRISAS DEL NEVADO","HOTEL","CR 5  4 57","macrivalnu@yahoo.es",11,34,1,46388
"209","PUERTO BOYACA","HOTEL CAMINO REAL PUERTO BOYACA","HOTEL","CR 3 A 14 82","hotelcaminoreall@hotmail.com",21,23,3,55789
"211","AQUITANIA (PUEBLO VIEJO)","HOTEL DONDE LUCHO AQUITANIA","HOTEL","CL 7 6-32","restaurantelucho.aquitania@gmail.com",6,14,1,58023
"213","RAQUIRA","HOTEL SUAYA","HOTEL","CALLE 3  4-10","marivargaspinilla@gmail.com",12,20,1,50153
"215","PUERTO BOYACA","HOTEL ROYAL TOSCANA","HOTEL","CR 5 23 65","hotelroyaltoscana@hotmail.com",40,45,16,74074
"216","CHITARAQUE","JUAN JOTA CHITARAQUE","HOTEL","VEREDA POTRERO GRANDE","urielagui@hotmail.com",11,16,1,47611
"218","TUNJA","HOTEL ZAFIRO PLAZA","HOTEL","CARRERA 10A 26-94","ximesierra15@hotmail.com",32,45,6,59229
"219","CHIQUINQUIRA","HOTEL ORQUIDEA A.B","HOTEL","CALLE 18  7-32  34","mery.a.p2511@hotmail.com",14,21,2,49185
"223","SANTA MARIA","SERVITURISTICOS LA ESMERALDA SAS","HOTEL","CALLE 3    4  10","serviciosturisticoslaesmeralda@hotmail.com",60,70,2,53414
"227","PUERTO BOYACA","CASA HOTEL KERANA MOON","HOTEL","CR 2 11 62 - 64","hotelkeranamoon@hotmail.com",14,18,1,49317
"233","SOATA","HOTEL CHICAMOCHA REAL","HOTEL","CR 5 6 42","hotelchicamochareal@hotmail.com",35,60,3,48425
"236","TOGUI","HOSPEDERIA PORTAL DE UBAZA","HOTEL","CARRERA 4  1-14","ingrenan@hotmail.com",7,20,1,42940
"237","VILLA DE LEYVA","HOSPEDERIA BALCONES DE SAN SEBASTIAN","HOTEL","CARRERA 9  9 44 INTERIOR","hospederiasansebastian@hotmail.com",7,7,1,47256
"239","SOGAMOSO","HOTEL YANUBA DE LA ONCE","HOTEL","CL 11 11-54","reservas@hotelyanuba.com",23,40,1,61373
"243","DUITAMA","HOTEL TURQUESA REAL","HOTEL","CL 15 19 76","hotelturquesareal@hotmail.com",20,40,1,51770
"244","PANQUEBA","HOTEL PORTON DE LA SIERRA","HOTEL","CL 6  5 12","ampar3003@hotmail.com",8,23,1,51556
"249","DUITAMA","CASA HOTEL LOS GERANIOS","HOTEL","URB PUEBLITO BOYACENSE MZ 1 CA 5 RAQUIRA","casahotellosgeranios@hotmail.com",12,18,1,56976
"251","VILLA DE LEYVA","HOTEL CASA REAL VILLA DE LEYVA","HOTEL","CALLE 17 10-14","anbarrera2@hotmail.com",15,27,10,73353
"252","NOBSA","HOTEL SANTA ROSALIA","HOTEL","KL 7 VIA DUITAMA BELENCITO","rosalbavietto@yahoo.com",12,25,1,42988
"253","VILLA DE LEYVA","POSADA PORTAL DE LA VILLA","HOTEL","CALLE 14  8 - 16","artesada@gmail.com",10,10,1,55902
"255","SOGAMOSO","HOTEL CIUDAD DEL SOL","HOTEL","CL 11 13-17","margaritabayonacamargo@hotmail.com",20,25,1,49265
"256","DUITAMA","HOTEL SIPA","HOTEL","CR 42 14 31 AP 202","hotelsipa@hotmail.com",21,32,1,59683
"258","CHIQUINQUIRA","COLONIAL PRIMAVERA","HOTEL","CARRERA 10  17 80","hotelcolonialprimavera@hotmail.com",17,28,1,57506
"259","CHIQUINQUIRA","HOTEL PRIMER CENTAURO","HOTEL","CALLE 18  8 73","jovannycent@hotmail.com",7,11,1,44784
"260","AQUITANIA (PUEBLO VIEJO)","HOTEL 3.015 AQUITANIA","HOTEL","CL 9 7 53","hotel3.015aquitania@gmail.com",16,31,1,47900
"261","DUITAMA","HOTEL Y CASA DE BANQUETES Y EVENTOS REAL PICO VICTORIA Y CONVENTION CENTER","HOTEL","CL 15 17 36","albarcorporation3037@gmail.com",10,20,1,44522
"262","VILLA DE LEYVA","CANEY HOTEL BOUTIQUE VILLA DE LEYVA","HOTEL","VEREDA SALTO Y LA LAVANDERA","ggcontabilidad@hotmail.com",10,18,2,55798
"264","DUITAMA","HOTEL SANTRIS","HOTEL","CR 42 17 48","hotelsantris@hotmail.com",33,56,1,53234
"268","CIENEGA","CIENEGA PANORAMA PLAZA HOTEL","HOTEL","CALL 3  6-69","ligiagomez810@hotmail.com",6,12,1,55774
"269","VILLA DE LEYVA","HOTEL CAMPANARIO DE LA VILLA","HOTEL","CARRERA 11A  12-47-65","reservas@hotelcampanariodelavilla.com",28,28,24,94225
"270","CHIQUINQUIRA","HOTEL MAR Y SOL","HOTEL","CALLE 7A  9 107","marisolnavarrocruz72@gmail.com",10,14,1,54112
"272","TUNJA","HOTEL MARQUEZ PLAZA","HOTEL","AVENIDA 6  68  07","moni_farfan@hotmail.com",16,20,1,61821
"274","DUITAMA","HOTEL COLONIAL DUITAMA","HOTEL","CL 17 18 32","nikirincon@hotmail.com",13,17,1,56864
"276","PAUNA","LA POSADA DE CHAVA PAUNA","HOTEL","CARRERA 6  5-13","milenabernal25@hotmail.com",10,25,2,45517
"277","SOATA","HOTEL COUNTRY SOATA","HOTEL","CRA 4 N 8 - 10","hotelcountrysoata@hotmail.com",30,45,2,53023
"278","PUERTO BOYACA","HOTEL CAMPESTRE SANTORINI","HOTEL","CR 5 31 70","inversionesyproyectosjmsas@gmail.com",32,49,17,75071
"280","PAIPA","HOTEL CHINCA LOS LAGOS","HOTEL","KMT 1/2 VIA PAIPA-TUNJA","hotelchincaloslagos@gmail.com",13,18,1,48791
"282","EL ESPINO","HOTEL BUENOS AIRES EL ESPINO","HOTEL","CR 5  7 45","hotelrestaurantebuenosaires@gmail.com",12,18,1,56679
"283","DUITAMA","HOTEL DO CRUZEIRO","HOTEL","CR 22  20 10","hoteldocruzeiro@hotmail.com",33,49,1,42082
"284","SOGAMOSO","NUEVO HOTEL PLAZA REAL","HOTEL","KR 20 11B 33","belaortiz29@gmail.com",18,24,1,57438
"285","CHIQUINQUIRA","HOTEL CHIQUINQUIREÑO","HOTEL","CARRERA 10  17 90","rosalbaortiz0276@gmail.com",10,18,1,51260
"287","BELEN","HOTEL CENTENARIO PLAZA","HOTEL","CR 5  6 61","robinson.ravelo@gmail.com",14,20,1,56417
"290","SAMACA","POSADA ANDRE`","HOTEL","CARRERA 2  1-52","nelly_lancheros@hotmail.com",14,17,2,57330
"292","CHIQUINQUIRA","HOTEL VILLA MARIANA CENTRO","HOTEL","CARRERA 10  17 35","fretell9694@gmail.com",10,20,2,55441
"294","TIBASOSA","HOTEL BOUTIQUE BELLA TIERRA","HOTEL","KM 0.5 VIA TIBASOSA -AYALAS","hotelbellatierra@gmail.com",9,14,8,70076
"295","NOBSA","HOTEL VILLA DEL SOL DE CHAMEZA","HOTEL","KM 5 VIA SOGAMOSO-BELENCITO CHAMEZA MAYOR","myriamh810@hotmail.com",13,20,1,55144
"296","CUCAITA","HOTEL CUCAITA REAL","HOTEL","VEREDA LLUVIOSOS SECTOR SAN FELIPE LOTE 3","jivancho13@hotmail.com",14,14,1,47787
"297","TINJACA","HOTEL NUEVO MILENIO TINJACA","HOTEL","CARRERA 3  3-43","hotelnuevomileniotinjacaboyaca@yahoo.es",20,24,1,43945
"298","MONIQUIRA","HOTEL VILLA DEL SOL MONIQUIRA","HOTEL","CARRERA 3  16-171","karubiano_0216@hotmail.com",24,27,1,61248
"302","GUICAN","HOTEL Y RESTAURANTE GUICAN DE LA SIERRA","HOTEL","CR 4 3 26","jorgoblan@gmail.com",11,27,1,56727
"303","MACANAL","HOTEL SINAI SV","HOTEL","VEREDA EL DATIL","hotelsinaiadmon@gmail.com",20,20,4,60254
"304","MONGUI","MONGUI PLAZA HOTEL","HOTEL","KR 4 4 10","monguiplaza@gmail.com",14,39,2,46399
"307","GARAGOA","PANORAMA CONFORT","HOTEL","CALLE 11  9  20","hotelpanoramagaragoa@gmail.com.co",18,32,1,53005
"308","ZETAQUIRA","HOTEL CHIBCHACUM","HOTEL","CARRERA  2  N. 6 - 46","chibchacumhotel@gmail.com",25,30,1,47255
"309","DUITAMA","LUXURY DUITAMA","HOTEL","CL 18 19 32 CENTRO","ruben_5511@hotmail.com",11,15,1,59967
"312","NOBSA","COMPLEJO TURISTICO PUNTALARGA S.A.S","HOTEL","KILOMETRO 7 VIA DUITAMA BELENCITO","contadorctpsas@gmail.com",28,85,6,52184
"313","MONGUI","HOTEL CALICANTO REAL CAFE MUSEO","HOTEL","CRA 3 CONTIGUO PUENTE CALICANTO","juliosaenz1766@gmail.com",6,13,1,46725
"314","CIENEGA","RAFA HOTEL BOUTIQUE","HOTEL","CALLE 3 8 15","contacto@rafahotelboutique.com",18,21,1,44601
"316","TUNJA","HOTEL CASTILLO REAL DE TUNJA","HOTEL","CALLE 19   13-31 PISO 2","hotelcastillorealtunja@gmail.com",40,95,2,50525
"318","MIRAFLORES","CASA HOTEL LOS BALCONES MIRAFLORES","HOTEL","CALLE 4  6-12","casahotellosbalcones2014@hotmail.com",7,12,1,56528
"320","MIRAFLORES","HOTEL PANORAMA MIRAFLORES","HOTEL","CARRERA 8  4 PISO 2","elvisrojas1980@gmail.com",7,10,1,61835
"322","PAEZ","HOTEL EL ENSUEÑO","HOTEL","CARRERA 2  3- 28","carlosjr136@gmail.com",8,10,1,56303
"326","TUNJA","HOTEL GRAN BICENTENARIO","HOTEL","AVENIDA ORIENTAL NRO 12 A - 14 BARRIO EL JORDAN","protesecltda@hotmail.com",12,24,1,52089
"328","NOBSA","HOTEL VILLA SOFIA PUNTALARGA","HOTEL","KM 6 VIA DUITAMA NOBSA","hotelvillasofia@hotmail.com",12,25,2,52721
"329","MONIQUIRA","HOTEL PALMERAS DE LUZ","HOTEL","CARRETERA CENTRAL N. 27-94","contabilidadgrupoabril@gmail.com",42,100,1,60977
